,DOY,Hour,Incoming_PAR_Wm2,temperature,VPD,wind_speed,precipitation,time
183,130,8,35.95019853,21.26,1.539330516,0.85,0,130.3333333
184,130,9,97.42661765,21.155,1.653427379,0.85,0,130.375
185,130,10,139.2629412,21.47,2.071161146,0.85,0,130.4166667
186,130,11,191.4705882,22.085,2.194996655,0.85,0,130.4583333
187,130,12,191.4705882,22.565,2.072000683,0.85,0,130.5
188,130,13,191.4705882,21.2,1.728151525,0.85,0,130.5416667
189,130,14,190.9440441,20.43,1.573337985,0.85,0,130.5833333
190,130,15,164.0105147,19.39,1.431583841,0.85,0,130.625
191,130,16,33.50735294,19.585,1.20727788,0.85,0,130.6666667
192,130,17,40.20084559,19.09,1.186083983,0.85,5,130.7083333
193,130,18,37.38303676,17.705,0.987228184,0.85,0,130.75
194,130,19,14.53580882,18.78,0.984836554,0.85,0,130.7916667
195,130,20,9.299088235,19.245,1.081281856,0.85,0,130.8333333
196,130,21,0.033188235,19.47,1.140114917,0.85,0,130.875
197,130,22,0.028561029,20.07,1.165433982,0.85,0,130.9166667
198,130,23,0.020423529,20.51,1.165520717,0.85,0,130.9583333
199,131,0,0.031113971,20.66,1.223134556,0.85,0,131
200,131,1,0.036060294,20.785,1.273636933,0.85,0,131.0416667
201,131,2,0.028401471,20.965,1.260833042,0.85,0,131.0833333
202,131,3,0.025688971,21.08,1.240554257,0.85,0,131.125
203,131,4,0.03255,21.17,1.236932547,0.85,0,131.1666667
204,131,5,0.18445,21.215,1.259327564,0.85,0,131.2083333
205,131,6,12.558875,21.23,1.296325744,0.85,0,131.25
206,131,7,21.13516176,21.335,0.993028209,0.85,0,131.2916667
207,131,8,33.95890441,20.965,1.179634762,0.85,0,131.3333333
208,131,9,87.29463235,20.45,1.332872542,0.85,0,131.375
209,131,10,105.5800735,20.96,1.787300439,0.85,0,131.4166667
210,131,11,191.4705882,21.045,1.881276806,0.85,0,131.4583333
211,131,12,191.4705882,21.825,1.841879558,0.85,0,131.5
212,131,13,133.5826471,21.03,1.605229516,0.85,0,131.5416667
213,131,14,137.4758824,20.435,1.495338074,0.85,0,131.5833333
214,131,15,120.2275735,20.83,1.406276776,0.85,0,131.625
215,131,16,71.34353676,20.62,1.16042389,0.85,0,131.6666667
216,131,17,67.48061765,20.35,1.165831764,0.85,5,131.7083333
217,131,18,30.97675,19.195,0.971971437,0.85,0,131.75
218,131,19,28.23872059,19.525,0.975128713,0.85,0,131.7916667
219,131,20,10.50854412,20.16,1.016230872,0.85,0,131.8333333
220,131,21,0.046591176,20.165,1.14084852,0.85,0,131.875
221,131,22,0.046272059,20.345,1.205558821,0.85,0,131.9166667
222,131,23,0.034943382,20.76,1.214336109,0.85,0,131.9583333
223,132,0,0.036219853,20.9,1.251699452,0.85,0,132
224,132,1,0.034305147,20.985,1.25408752,0.85,0,132.0416667
225,132,2,0.034783824,21.14,1.220007339,0.85,0,132.0833333
226,132,3,0.038134559,21.245,1.246899154,0.85,0,132.125
227,132,4,0.031113971,21.32,1.299279814,0.85,0,132.1666667
228,132,5,0.197214706,21.405,1.359355241,0.85,0,132.2083333
229,132,6,12.56525735,21.475,1.348053155,0.85,0,132.25
230,132,7,23.60832353,21.555,1.111787818,0.85,0,132.2916667
231,132,8,34.04506618,21.16,1.226221706,0.85,0,132.3333333
232,132,9,88.95404412,20.135,1.243125984,0.85,0,132.375
233,132,10,129.2107353,20.395,1.649895656,0.85,0,132.4166667
234,132,11,191.4705882,20.895,1.57957431,0.85,0,132.4583333
235,132,12,191.4705882,21.195,1.443573195,0.85,0,132.5
236,132,13,149.3470588,20.755,1.131696098,0.85,0,132.5416667
237,132,14,117.6028309,20.67,1.037236057,0.85,0,132.5833333
